0	1	2	3	4	5	6	7	8
4.5	0.2222222222222222	6.023625	-72.08127777777777	-18.0	5.237	-2.524	305.89	-44.89
8.9	0.11235955056179775	13.1885	-26.58261111111111	-45.4	4.267	-5.636	152.3	-89.38
8.6	0.11627906976744186	15.809416666666667	-70.84877777777778	223.5	6.73	-2.535	301.53	-46.25
30.1	0.03322259136212624	30.737499999999997	-3.2527777777777778	-130.6	-0.234	-1.782	161.22	-60.76
16.3	0.06134969325153374	48.06754166666667	-55.21622222222222	68.2	1.632	-2.038	270.54	-52.12
11.1	0.0900900900900901	53.3335	79.58105555555555	-82.8	-0.171	0.07	130.06	19.03
123.3	0.008110300081103	58.75958333333333	-49.61527777777778	116.0	0.357	-0.424	258.34	-48.47
90.1	0.011098779134295229	66.18541666666667	-21.186944444444446	-23.6	0.493	-0.402	218.1	-41.33
27.2	0.03676470588235294	71.524625	31.3815	-133.0	1.034	-1.557	170.53	-9.07
12.1	0.08264462809917356	78.52816666666666	-40.04655555555556	320.5	2.12	-0.589	244.51	-35.03
12.9	0.07751937984496124	81.04620833333334	-24.524722222222223	205.8	2.467	-1.573	227.23	-29.35
10.8	0.09259259259259259	102.24754166666668	-36.00530555555556	148.9	3.316	-2.186	245.63	-16.0
82.6	0.012106537530266345	114.53529166666665	38.882444444444445	-20.2	-0.011	-0.557	180.37	25.24
34.7	0.02881844380403458	119.57083333333333	26.255	0.0	0.0	0.0	195.12	25.54
39.4	0.025380710659898477	136.99083333333334	-37.22138888888889	34.3	1.078	0.212	261.32	7.0
9.6	0.10416666666666667	138.01291666666665	-64.8635	101.6	1.005	0.274	282.19	-11.25
8.1	0.1234567901234568	140.23779166666665	-77.28188888888889	0.0	-2.695	7.115	292.27	-19.02
92.5	0.010810810810810811	151.3829166666667	0.07166666666666667	83.4	0.055	-0.085	240.15	41.86
4.9	0.2040816326530612	154.4034166666667	-46.41247222222222	494.0	8.324	-1.991	277.23	8.64
108.7	0.00919963201471941	172.32	28.973583333333334	74.5	-0.135	-0.518	202.31	71.8
48.3	0.020703933747412008	179.82708333333332	12.26	0.0	0.0	0.0	260.99	70.75
19.3	0.05181347150259067	182.52624999999998	18.542638888888888	183.2	-1.705	-2.114	252.85	77.19
5.8	0.1724137931034483	186.43916666666667	-72.659	72.3	-6.378	3.358	300.99	-9.88
21.2	0.04716981132075472	189.6675	-51.15027777777778	-44.0	-1.263	0.399	300.88	11.67
10.3	0.0970873786407767	189.86658333333332	-26.744055555555555	-94.7	-2.752	1.762	299.63	36.05
