(1) 	(2) 	(3) 	(4) 	(5) 	(6) 	(7) 	(8) 	(9) 	(10) 	(11) 	(12) 	(13) 	(14) 	(15) 	(16) 	(17) 	(18) 	(19) 	(20) 	(21)
2.40 	1.40 	3.0 	pbd+03 	3.00 	2.70 	pbd+03 	4.7 	1.4 	rus03 	  	  	  	  	54.7 	  	  	54.7 	  	  	54.7
4.30 	0.60 	6.6 	rus03 	  	  	  	1.3 	0.4 	rus03 	  	  	  	  	28.0 	  	  	28.0 	  	  	28.0
6.00 	-1.30 	2.8 	pbd+03 	44.90 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	65.8 	  	  	65.8 	  	  	65.8
6.00 	-1.20 	3.6 	pbd+03 	113.40 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	89.5 	  	  	89.5 	  	  	89.5
6.20 	-1.20 	3.0 	pbd+03 	2.10 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	23.7 	  	  	23.7 	  	  	23.7
6.90 	-2.10 	5.4 	pbd+03 	15.40 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	46.0 	  	  	46.0 	  	  	46.0
7.00 	-0.20 	14.3 	pbd+03 	15.00 	2.70 	pbd+03 	2.7 	0.8 	rus03 	knear 	pdd04 	3.0 	5.5 	64.7 	  	  	64.7 	  	  	64.7
7.30 	-0.10 	17.9 	pbd+03 	1.70 	2.70 	pbd+03 	2.7 	0.8 	rus03 	  	  	  	  	31.3 	  	  	31.3 	  	  	31.3
8.70 	-0.50 	15.0 	rus03 	  	  	  	1.7 	0.5 	rus03 	  	  	  	  	  	  	  	  	  	  	 
10.31 	-0.15 	9.4 	swa+04 	8.70 	4.86 	swa+04 	3.4 	0.3 	bdc01 	knear 	pmg08 	1.6 	6.9 	64.1 	  	  	64.1 	  	  	64.1
11.50 	-1.00 	12.0 	rus03 	3.20 	2.70 	pbd+03 	1.6 	0.2 	rus03 	knear 	pdd04 	2.5 	6.0 	27.3 	  	  	27.3 	  	  	27.3
12.80 	0.40 	20.7 	pbd+03 	4.10 	2.70 	pbd+03 	2.4 	0.2 	rus03 	  	  	  	  	38.8 	  	  	38.8 	  	  	38.8
13.50 	-0.20 	11.3 	pbd+03 	0.60 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	15.6 	  	  	15.6 	  	  	15.6
13.80 	-0.80 	23.9 	pbd+03 	14.20 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	44.8 	  	  	44.8 	  	  	44.8
14.10 	-0.50 	20.6 	pbd+03 	1.70 	2.70 	pbd+03 	1.6 	0.25 	rus03 	  	  	  	  	22.1 	  	  	22.1 	  	  	22.1
14.40 	-0.70 	11.9 	pbd+03 	2.90 	2.70 	pbd+03 	1.6 	0.25 	rus03 	knear 	pdd04 	1.5 	7.0 	26.4 	  	  	26.4 	  	  	26.4
