#  
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2013-02-12T14:12:06 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to: question@simbad.u-strasbg.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.97 (28-Nov-2012) 
#INFO -ref=VIZ511a4d7c223f 
#INFO -out.max=unlimited 
#INFO queryParameters=21 
#-oc.form=sexa
#-out.max=unlimited
#-out.src=J/A+AS/108/485/table1
#-nav=cat:J/A+AS/108/485&tab:{J/A+AS/108/485/table1}&key:source=J/A+AS/108/485&HTTPPRM:&-ref=VIZ511a4d7c223f&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-order=I&-out=recno&-out=Name&-out=PK&-out=F5GHz&-out=D&-out=Ref&-out=Tb&-out=R&-out=l_Dist&-out=Dist&-out=tau(CKS)&-out=log(mu)&-out=Rad(CKS)&-out=Dist(CKS)&-out=Diff&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-out.src=J/A+AS/108/485/table1
#-source=J/A+AS/108/485/table1
#-order=I
#-out=recno
#-out=Name
#-out=PK
#-out=F5GHz
#-out=D
#-out=Ref
#-out=Tb
#-out=R
#-out=l_Dist
#-out=Dist
#-out=tau(CKS)
#-out=log(mu)
#-out=Rad(CKS)
#-out=Dist(CKS)
#-out=Diff
#

#RESOURCE=yCat_41080485
#Name: J/A+AS/108/485
#Title: PN distance scale (Van de Steene+, 1994)
#Table J_A_AS_108_485_table1:
#Name: J/A+AS/108/485/table1
#Title: Catalog of distances to planetary nebulae
#---Details of Columns:
    recno           (I8)    Record number within the original table (starting from 1) [ucd=meta.record]
    Name            (a10)   Nebula name [ucd=meta.id;meta.main]
    PK              (a9)    PK number [ucd=meta.id]
    F5GHz (mJy)     (F7.1)  Radio flux at 5 GHz [ucd=phot.flux.density;em.radio.3-6GHz]
    D (arcsec)      (F5.1)  Angular diameter [ucd=phys.angSize;src]
    Ref             (I1)    References (1) [ucd=meta.ref]
    Tb (K)          (F7.2)  Brightness temperature [ucd=phys.temperature]
    R (pc)          (F5.2)  Radius calculated using the proposed method [ucd=phys.size.radius]
    l_Dist          (A1)    Limit flag on distance [ucd=meta.code.error]
    Dist (kpc)      (F5.2)  Distance calculated using the proposed method [ucd=pos.distance]
    tau(CKS)        (F5.2)  Optical thickness parameter [ucd=phys.absorption.opticalDepth]
    log(mu)         (F5.2)  Ionised mass [ucd=phys.mass]
    Rad(CKS) (pc)   (F6.3)  Radius as obtained with the Cahn et al. (CKS) calibration (2) [ucd=phys.size.radius]
    Dist(CKS) (kpc) (F5.2)  Distance as obtained with the Cahn et al. (CKS) calibration (2) [ucd=pos.distance]
    Diff (kpc)      (F6.2)  Difference between the distance determinations [ucd=pos.distance;arith.diff]
-------- ---------- --------- ------- ----- - ------- ----- - ----- ----- ----- ------ ----- ------
                                                            l                                      
                                                            _                                      
                                                            D                                      
                                            R               i                   R      Dist(       
                              F5GH    D (ar e         R     s Dist  tau   lo    ad(CKS CKS)  Diff  
recno    Name       PK        z (mJy) csec) f Tb (K)  (pc)  t (kpc) (CKS) g(mu) ) (pc) (kpc) (kpc) 
-------- ---------- --------- ------- ----- - ------- ----- - ----- ----- ----- ------ ----- ------
       1 HE2-338       0-4.1     10.0   5.0 3   28.30  0.09    7.73  3.40 -0.87  0.110  8.75  -1.02
       2 M3-22         0-3.1      5.0   6.0 3    9.80  0.14    9.33  3.86 -0.87  0.130  9.01   0.32
       3 HE2-348       0-4.2     28.0  12.0 3   13.70  0.12    4.15  3.71 -0.87  0.120  4.21  -0.06
       4 M2-19         0-1.5     14.0   5.0 3   39.60  0.08    6.88  3.25 -0.87  0.100  8.18  -1.31
       5 M3-19         0-2.6      5.5   7.0 3    7.90  0.15    8.62  3.95 -0.87  0.140  8.06   0.56
       6 IC4634       0+12.1    100.0   5.5 2  234.00  0.04    3.36  2.48 -1.52  0.040  2.87   0.49
       7 HE2-25       00+3.1     15.0   5.6 6   33.80  0.09    6.49  3.32 -0.87  0.100  7.54  -1.05
       8 PC12         0+17.1     19.0   1.8 3  414.00  0.04    8.40  2.23 -1.77  0.030  6.21   2.19
       9 H1-14         1+5.1     22.0   6.5 3   36.80  0.09    5.43  3.28 -0.87  0.100  6.39  -0.96
      10 H1-47         1-3.1     10.0   2.5 6  113.00  0.06    9.53  2.80 -1.20  0.060  9.75  -0.22
      11 HE2-262       1+2.1     26.0   3.1 3  191.00  0.05    6.39  2.57 -1.43  0.040  5.74   0.66
      12 H1-15         1+5.2     13.0   4.3 3   49.70  0.08    7.38  3.15 -0.87  0.090  9.09  -1.71
      13 H1-56         1-4.2      7.8   2.5 6   88.20  0.06   10.39  2.90 -1.10  0.070 11.32  -0.93
      14 SWST-1        1-6.2    207.0   1.3 2 5400.00  0.01 <  4.73  0.91 -3.09  0.004  1.39   3.34
      15 H1-11         2+8.1     13.0   6.0 3   25.50  0.10    6.68  3.44 -0.87  0.110  7.44  -0.76
      16 H1-54         2-4.1     31.0   1.2 6 1520.00  0.02    7.99  1.67 -2.33  0.010  4.27   3.72
      17 HE2-402       2-9.1     44.0   7.0 3   63.50  0.07    4.16  3.05 -0.95  0.080  4.92  -0.76
      18 M2-33         2-6.1     12.0   3.6 6   65.40  0.07    8.01  3.03 -0.87  0.090 10.28  -2.27
      19 NGC6369       2+5.1   2002.0  28.6 4  173.00  0.05    0.72  2.61 -1.39  0.050  0.66   0.06
      20 M1-42         2-4.2     24.0   9.0 3   20.90  0.10    4.78  3.53 -0.87  0.110  5.16  -0.39
      21 M1-37         2-3.3     15.0   2.7 6  145.00  0.05    8.08  2.69 -1.31  0.050  7.76   0.32
      22 PE2-12        2-2.3      2.0   5.0 3    5.70  0.16   13.59  4.10 -0.87  0.150 12.07   1.52
      23 M2-23         2-2.4     41.0   0.7 6 5910.00  0.01    8.52  1.08 -2.92  0.010  3.24   5.28
      24 M1-38         2-3.5     24.0   3.6 6  131.00  0.05    6.28  2.73 -1.27  0.050  6.20   0.08
      25 IC4776       2-13.1     71.0   7.0 1  102.00  0.06    3.53  2.84 -1.16  0.060  3.70  -0.17
      26 H2-17         3+3.1     10.0   4.0 3   44.20  0.08    8.27  3.20 -0.87  0.100 10.01  -1.74
      27 HB4           3+2.1    170.0   7.0 2  245.00  0.04    2.60  2.46 -1.54  0.040  2.19   0.41
      28 M1-35         3-2.1     54.0   4.4 3  197.00  0.05    4.46  2.55 -1.45  0.040  3.97   0.49
      29 M2-36         3-6.1     13.0   7.0 3   18.80  0.11    6.37  3.58 -0.87  0.120  6.79  -0.41
      30 M2-26         3-2.2      5.0   9.0 3    4.40  0.18    8.27  4.21 -0.87  0.150  7.07   1.20
      31 IC4673        3-2.3     62.0  17.0 3   15.20  0.12    2.83  3.67 -0.87  0.120  2.92  -0.09
      32 H2-41         3-4.4      2.0   7.0 3    2.90  0.21   12.29  4.39 -0.87  0.170  9.87   2.42
      33 NGC6565       3-4.5     37.0   9.6 1   28.40  0.09    4.02  3.40 -0.87  0.110  4.55  -0.53
      34 M2-30         3-4.8     14.0   3.5 3   80.80  0.06    7.65  2.94 -1.06  0.070  8.52  -0.87
      35 HE2-378       4-5.1      8.0   7.0 3   11.50  0.13    7.57  3.79 -0.87  0.130  7.48   0.09
      36 M1-25         4+4.1     57.0   3.2 2  393.00  0.04    4.81  2.25 -1.75  0.030  3.61   1.21
      37 M2-29         4-3.1      8.0   3.5 3   46.20  0.08    9.31  3.19 -0.87  0.100 11.33  -2.03
      38 H1-24         4+6.2     15.0   4.7 3   48.00  0.08    6.84  3.17 -0.87  0.100  8.37  -1.54
      39 M1-44         4-4.2      9.0   4.0 3   39.80  0.08    8.58  3.25 -0.87  0.100 10.22  -1.64
      40 H1-27         5+4.1     18.0   0.8 3 1990.00  0.02   10.91  1.55 -2.45  0.010  5.46   5.45
      41 M2-38         5-5.1      8.0   8.0 3    8.80  0.14    7.26  3.90 -0.87  0.130  6.90   0.36
      42 M3-11         5+6.1     10.0   7.0 3   14.40  0.12    7.00  3.69 -0.87  0.120  7.15  -0.15
      43 M3-12         5+5.1     12.5   7.5 3   15.70  0.12    6.34  3.65 -0.87  0.120  6.56  -0.23
      44 NGC6620       5-6.1      3.5   5.0 3    9.90  0.14   11.17  3.85 -0.87  0.130 10.80   0.37
      45 H2-16         5+5.2      3.0  18.0 3    0.70  0.35    8.03  5.03 -0.87  0.230  5.16   2.87
      46 M1-20         6+8.1     51.0   1.9 2  999.00  0.03    5.85  1.85 -2.15  0.020  3.47   2.37
      47 M3-15         6+4.2     65.0   5.4 6  158.00  0.05    3.92  2.65 -1.35  0.050  3.70   0.22
      48 M2-31         6-3.3     51.0   3.8 6  250.00  0.04    4.75  2.45 -1.55  0.040  3.99   0.76
      49 M1-31         6+2.5     59.0   7.0 3   85.10  0.06    3.76  2.92 -1.08  0.070  4.13  -0.37
      50 H1-65         7-4.1     10.0   2.3 6  134.00  0.05    9.76  2.72 -1.28  0.050  9.59   0.17
      51 HB6           7+1.1    243.0   6.0 3  477.00  0.03    2.40  2.17 -1.83  0.020  1.71   0.68
      52 HE2-397       7-6.1      6.0   6.5 3   10.00  0.13    8.56  3.85 -0.87  0.130  8.28   0.28
      53 VY2-1         7-6.2     37.0   3.7 3  191.00  0.05    5.36  2.57 -1.43  0.040  4.81   0.55
      54 HE2-260       8+6.1     13.0   1.0 2  919.00  0.03   11.44  1.89 -2.11  0.020  6.94   4.50
      55 M1-40         8-1.1    208.0   4.3 3  795.00  0.03    2.80  1.95 -2.05  0.020  1.76   1.04
      56 NGC6445       8+3.1    368.0  33.2 1   23.60  0.10    1.24  3.48 -0.87  0.110  1.37  -0.13
      57 M2-42         8-4.2     14.0   4.0 3   61.80  0.07    7.35  3.06 -0.94  0.080  8.75  -1.40
      58 NGC6644       8-7.2     97.0   3.1 6  713.00  0.03    4.03  2.00 -2.00  0.020  2.60   1.43
      59 HE2-398       9-4.1     11.0   6.0 3   21.60  0.10    7.08  3.51 -0.87  0.110  7.70  -0.61
      60 HE2-423      9-10.1      7.5   6.0 3   14.70  0.12    8.10  3.68 -0.87  0.120  8.31  -0.20
      61 NGC6629       9-5.1    275.0  15.0 1   86.40  0.06    1.74  2.91 -1.09  0.070  1.91  -0.17
      62 TH4-5         9+4.1     16.0   7.0 3   23.10  0.10    5.93  3.49 -0.87  0.110  6.51  -0.58
      63 NGC6309      9+14.1    151.0  13.8 1   56.00  0.07    2.21  3.10 -0.90  0.090  2.69  -0.49
