Nested Sampling Global Log-Evidence           :   -0.943025198005456673E+02  +/-    0.233702496828850775E+00
Nested Importance Sampling Global Log-Evidence:   -0.956971867661275866E+02  +/-    0.436319243416697575E-01

Dim No.       Mean        Sigma
   1    0.383188327925183703E+00    0.270029801965313947E-01
   2    0.344496288594329414E+02    0.672470376804297398E+01
   3    0.928708565993095370E+01    0.188676692168244275E+01
   4    0.284774589046305155E+05    0.103364832684695320E+05
   5    0.804434159275805027E-01    0.101562135071493979E-01
   6    0.312105989482780588E+01    0.136771699019685194E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.379530096510108494E+00
   2    0.354350707245627703E+02
   3    0.889666197233072786E+01
   4    0.238754207008176309E+05
   5    0.839789743403786121E-01
   6    0.318994082276984559E+01

MAP Parameters
Dim No.        Parameter
   1    0.379530096510108494E+00
   2    0.354350707245627703E+02
   3    0.889666197233072786E+01
   4    0.238754207008176309E+05
   5    0.839789743403786121E-01
   6    0.318994082276984559E+01
